,A.RTL1,A.RTL2,A.RTL3,A.RTL4,A.FLIP1,A.FLIP2,A.FLIP3,A.FLIPGeneral,A.ALT_HOLD1,A.ALT_HOLD2,A.CIRCLE1,A.CIRCLE2,A.CIRCLE3,A.CIRCLE4,A.CIRCLE5,A.CIRCLE6,A.CIRCLE7,A.LAND1,A.LAND2,A.AUTO1,A.BRAKE1,A.DRIFT1,A.LOITER1,A.GUIDED1,A.SPORT1,A.RC.FS1,A.RC.FS2,A.CHUTE1,A.GPS.FS1,A.GPS.FS2
1366,"('MOT_BAT_VOLT_MAX', 0.0)","('BATT5_LOW_TIMER', 0.0)","('BATT9_I2C_ADDR', 0.0)","('BATT7_LOW_TIMER', 0.0)","('INS_TCAL2_ACC1_Y', 0.0)","('INS_TCAL3_GYR2_Y', 0.0)","('LOG_MAV_RATEMAX', 0.0)","('LGR_STARTUP', 0.0)","('MNT2_RC_IN_ROLL', 0.0)","('MNT_STAB_TILT', 0.0)","('LOIT_BRK_DELAY', 0.0)","('OA_DB_BEAM_WIDTH', 0.0)","('MOT_HOVER_LEARN', 0.0)","('MOT_HOVER_LEARN', 0.0)","('MSP_OPTIONS', 0.0)","('MSP_OPTIONS', 0.0)","('INS_TCAL3_TMIN', 0.0)","('GPS2_CAN_OVRIDE', 0.0)","('GPS2_CAN_OVRIDE', 0.0)","('NTF_BUZZ_ON_LVL', 0.0)","('MNT_NEUTRAL_Y', 0.0)","('H_SW_H3_SV2_POS', 0.0)","('MOT_BAT_CURR_MAX', 0.0)","('MNT_ANGMAX_TIL', 0.0)","('H_RSC_GOV_RPM', 0.0)","('EK3_SRC2_VELZ', 0.0)","('FENCE_MARGIN', 0.0)","('FHLD_XY_FILT_HZ', 0.0)","('INS_TCAL1_GYR2_Z', 0.0)","('INS_ACCEL_FILTER', 0.0)"
1367,"('MOT_BAT_VOLT_MIN', 0.0)","('BATT5_FS_VOLTSRC', 0.0)","('BATT9_FL_VLT_MIN', 0.0)","('BATT7_FS_VOLTSRC', 0.0)","('INS_TCAL2_ACC1_Z', 0.0)","('INS_TCAL3_GYR2_Z', 0.0)","('LOG_BLK_RATEMAX', 0.0)","('LGR_DEPLOY_PIN', 0.0)","('MNT2_ANGMIN_ROL', 0.0)","('MNT_STAB_PAN', 0.0)","('MIS_RESTART', 0.0)","('OA_DB_DIST_MAX', 0.0)","('MOT_SAFE_DISARM', 0.0)","('MOT_SAFE_DISARM', 0.0)","('NTF_LED_BRIGHT', 0.0)","('NTF_LED_BRIGHT', 0.0)","('INS_TCAL3_TMAX', 0.0)","('GPS_MB1_TYPE', 0.0)","('GPS_MB1_TYPE', 0.0)","('NTF_BUZZ_VOLUME', 0.0)","('MNT_NEUTRAL_Z', 0.0)","('H_SW_H3_SV3_POS', 0.0)","('MOT_PWM_TYPE', 0.0)","('MNT_RC_IN_PAN', 0.0)","('H_RSC_GOV_TORQUE', 0.0)","('EK3_SRC2_YAW', 0.0)","('FENCE_TOTAL', 0.0)","('FHLD_FLOW_MAX', 0.0)","('INS_TCAL1_GYR3_X', 0.0)","('INS_USE', 0.0)"
1368,"('MOT_PWM_TYPE', 0.0)","('BATT5_ARM_VOLT', 0.0)","('BATT9_FL_V_MULT', 0.0)","('BATT7_ARM_VOLT', 0.0)","('INS_TCAL2_ACC2_X', 0.0)","('INS_TCAL3_GYR3_X', 0.0)","('LOIT_SPEED', 0.0)","('LGR_DEPLOY_POL', 0.0)","('MNT2_ANGMAX_ROL', 0.0)","('MNT_RC_IN_ROLL', 0.0)","('MIS_OPTIONS', 0.0)","('OSD_TYPE', 0.0)","('MOT_YAW_SV_ANGLE', 0.0)","('MOT_YAW_SV_ANGLE', 0.0)","('NTF_BUZZ_TYPES', 0.0)","('NTF_BUZZ_TYPES', 0.0)","('INS_TCAL3_ACC1_X', 0.0)","('GPS_MB1_OFS_X', 0.0)","('GPS_MB1_OFS_X', 0.0)","('NTF_LED_LEN', 0.0)","('MNT_STAB_ROLL', 0.0)","('H_SW_H3_PHANG', 0.0)","('MOT_PWM_MIN', 0.0)","('MNT_ANGMIN_PAN', 0.0)","('INS_GYROFFS_X', 0.0)","('EK3_SRC3_POSXY', 0.0)","('FENCE_ALT_MIN', 0.0)","('FHLD_FILT_HZ', 0.0)","('INS_TCAL1_GYR3_Y', 0.0)","('INS_USE2', 0.0)"
1369,"('MOT_PWM_MIN', 0.0)","('BATT5_OPTIONS', 0.0)","('BATT9_FL_FLTR', 0.0)","('BATT7_OPTIONS', 0.0)","('INS_TCAL2_ACC2_Y', 0.0)","('INS_TCAL3_GYR3_Y', 0.0)","('LOIT_ACC_MAX', 0.0)","('LGR_WOW_PIN', 0.0)","('MNT2_RC_IN_TILT', 0.0)","('MNT_ANGMIN_ROL', 0.0)","('MNT_TYPE', 0.0)","('OSD_CHAN', 0.0)","('MOT_SPOOL_TIME', 0.0)","('MOT_SPOOL_TIME', 0.0)","('NTF_LED_OVERRIDE', 0.0)","('NTF_LED_OVERRIDE', 0.0)","('INS_TCAL3_ACC1_Y', 0.0)","('GPS_MB1_OFS_Y', 0.0)","('GPS_MB1_OFS_Y', 0.0)","('OA_TYPE', 0.0)","('MNT_STAB_TILT', 0.0)","('H_DCP_SCALER', 0.0)","('MOT_PWM_MAX', 0.0)","('MNT_ANGMAX_PAN', 0.0)","('INS_GYROFFS_Y', 0.0)","('EK3_SRC3_VELXY', 0.0)","('FFT_ENABLE', 0.0)","('FHLD_QUAL_MIN', 0.0)","('INS_TCAL1_GYR3_Z', 0.0)","('INS_USE3', 0.0)"
1370,"('MOT_PWM_MAX', 0.0)","('BATT5_VOLT_PIN', 0.0)","('BATT9_FL_PIN', 0.0)","('BATT7_VOLT_PIN', 0.0)","('INS_TCAL2_ACC2_Z', 0.0)","('INS_TCAL3_GYR3_Z', 0.0)","('LOIT_BRK_ACCEL', 0.0)","('LGR_WOW_POL', 0.0)","('MNT2_ANGMIN_TIL', 0.0)","('MNT_ANGMAX_ROL', 0.0)","('MNT_DEFLT_MODE', 0.0)","('OSD_SW_METHOD', 0.0)","('MOT_BOOST_SCALE', 0.0)","('MOT_BOOST_SCALE', 0.0)","('NTF_DISPLAY_TYPE', 0.0)","('NTF_DISPLAY_TYPE', 0.0)","('INS_TCAL3_ACC1_Z', 0.0)","('GPS_MB1_OFS_Z', 0.0)","('GPS_MB1_OFS_Z', 0.0)","('OA_MARGIN_MAX', 0.0)","('MNT_STAB_PAN', 0.0)","('H_YAW_SCALER', 0.0)","('MOT_SPIN_MIN', 0.0)","('MNT_RC_RATE', 0.0)","('INS_GYROFFS_Z', 0.0)","('EK3_SRC3_POSZ', 0.0)","('FFT_MINHZ', 0.0)","('FHLD_BRAKE_RATE', 0.0)","('INS_TCAL2_ENABLE', 0.0)","('INS_GYR_CAL', 0.0)"
1371,"('MOT_SPIN_MIN', 0.0)","('BATT5_VOLT_MULT', 0.0)","('BATT_CAPACITY', 0.0)","('BATT7_VOLT_MULT', 0.0)","('INS_TCAL2_ACC3_X', 0.0)","('LGR_ENABLE', 0.0)","('LOIT_BRK_JERK', 0.0)","('LOG_BACKEND_TYPE', 0.0)","('MNT2_ANGMAX_TIL', 0.0)","('MNT_RC_IN_TILT', 0.0)","('MNT_RETRACT_X', 0.0)","('OSD_OPTIONS', 0.0)","('MOT_BAT_IDX', 0.0)","('MOT_BAT_IDX', 0.0)","('NTF_OREO_THEME', 0.0)","('NTF_OREO_THEME', 0.0)","('INS_TCAL3_ACC2_X', 0.0)","('GPS_MB2_TYPE', 0.0)","('GPS_MB2_TYPE', 0.0)","('OA_OPTIONS', 0.0)","('MNT_RC_IN_ROLL', 0.0)","('H_COL2_MIN', 0.0)","('MOT_SPIN_ARM', 0.0)","('MNT2_DEFLT_MODE', 0.0)","('INS_GYR2OFFS_X', 0.0)","('EK3_SRC3_VELZ', 0.0)","('FFT_MAXHZ', 0.0)","('FLOW_TYPE', 0.0)","('INS_TCAL2_TMIN', 0.0)","('INS_TRIM_OPTION', 0.0)"
1372,"('MOT_SPIN_ARM', 0.0)","('BATT5_VLT_OFFSET', 0.0)","('BATT_SERIAL_NUM', 0.0)","('BATT7_VLT_OFFSET', 0.0)","('INS_TCAL2_ACC3_Y', 0.0)","('LGR_STARTUP', 0.0)","('MIS_RESTART', 0.0)","('LOG_FILE_BUFSIZE', 0.0)","('MNT2_RC_IN_PAN', 0.0)","('MNT_ANGMIN_TIL', 0.0)","('MNT_RETRACT_Z', 0.0)","('OSD_FONT', 0.0)","('MOT_SLEW_UP_TIME', 0.0)","('MOT_SLEW_UP_TIME', 0.0)","('NTF_BUZZ_PIN', 0.0)","('NTF_BUZZ_PIN', 0.0)","('INS_TCAL3_ACC2_Y', 0.0)","('GPS_MB2_OFS_X', 0.0)","('GPS_MB2_OFS_X', 0.0)","('OA_BR_LOOKAHEAD', 0.0)","('MNT_ANGMIN_ROL', 0.0)","('H_COL2_MAX', 0.0)","('MOT_THST_HOVER', 0.0)","('MNT2_RETRACT_X', 0.0)","('INS_GYR2OFFS_Y', 0.0)","('EK3_SRC3_YAW', 0.0)","('FFT_WINDOW_OLAP', 0.0)","('FLOW_FXSCALER', 0.0)","('INS_TCAL2_ACC1_X', 0.0)","('INS_ACC_BODYFIX', 0.0)"
1373,"('MOT_THST_HOVER', 0.0)","('BATT5_I2C_BUS', 0.0)","('BATT_LOW_TIMER', 0.0)","('BATT7_I2C_BUS', 0.0)","('INS_TCAL2_ACC3_Z', 0.0)","('LGR_DEPLOY_PIN', 0.0)","('MIS_OPTIONS', 0.0)","('LOG_DISARMED', 0.0)","('MNT2_ANGMIN_PAN', 0.0)","('MNT_ANGMAX_TIL', 0.0)","('MNT_NEUTRAL_X', 0.0)","('OSD_V_OFFSET', 0.0)","('MOT_SLEW_DN_TIME', 0.0)","('MOT_SLEW_DN_TIME', 0.0)","('NTF_LED_TYPES', 0.0)","('NTF_LED_TYPES', 0.0)","('INS_TCAL3_ACC2_Z', 0.0)","('GPS_MB2_OFS_Y', 0.0)","('GPS_MB2_OFS_Y', 0.0)","('OA_BR_CONT_RATIO', 0.0)","('MNT_ANGMAX_ROL', 0.0)","('H_SW2_TYPE', 0.0)","('MOT_HOVER_LEARN', 0.0)","('MNT2_RETRACT_Y', 0.0)","('INS_GYR2OFFS_Z', 0.0)","('EK3_SRC_OPTIONS', 0.0)","('FFT_FREQ_HOVER', 0.0)","('FLOW_FYSCALER', 0.0)","('INS_TCAL2_ACC1_Y', 0.0)","('INS_FAST_SAMPLE', 0.0)"
1374,"('MOT_HOVER_LEARN', 0.0)","('BATT5_I2C_ADDR', 0.0)","('BATT_FS_VOLTSRC', 0.0)","('BATT7_I2C_ADDR', 0.0)","('INS_TCAL2_GYR1_X', 0.0)","('LGR_DEPLOY_POL', 0.0)","('MNT_TYPE', 0.0)","('LOG_REPLAY', 0.0)","('MNT2_ANGMAX_PAN', 0.0)","('MNT_RC_IN_PAN', 0.0)","('MNT_NEUTRAL_Z', 0.0)","('OSD_H_OFFSET', 0.0)","('MOT_SAFE_TIME', 0.0)","('MOT_SAFE_TIME', 0.0)","('NTF_BUZZ_ON_LVL', 0.0)","('NTF_BUZZ_ON_LVL', 0.0)","('INS_TCAL3_ACC3_X', 0.0)","('GPS_MB2_OFS_Z', 0.0)","('GPS_MB2_OFS_Z', 0.0)","('OA_BR_CONT_ANGLE', 0.0)","('MNT_RC_IN_TILT', 0.0)","('H_SW2_COL_DIR', 0.0)","('MOT_SAFE_DISARM', 0.0)","('MNT2_RETRACT_Z', 0.0)","('INS_GYR3OFFS_X', 0.0)","('ESC_TLM_MAV_OFS', 0.0)","('FFT_THR_REF', 0.0)","('FLOW_POS_X', 0.0)","('INS_TCAL2_ACC1_Z', 0.0)","('INS_ENABLE_MASK', 0.0)"
1375,"('MOT_SAFE_DISARM', 0.0)","('BATT5_FL_VLT_MIN', 0.0)","('BATT_LOW_VOLT', 0.0)","('BATT7_FL_VLT_MIN', 0.0)","('INS_TCAL2_GYR1_Y', 0.0)","('LGR_WOW_PIN', 0.0)","('MNT_DEFLT_MODE', 0.0)","('LOG_MAV_BUFSIZE', 0.0)","('MNT2_TYPE', 0.0)","('MNT_ANGMIN_PAN', 0.0)","('MNT_STAB_ROLL', 0.0)","('OSD_W_RSSI', 0.0)","('MSP_OSD_NCELLS', 0.0)","('MSP_OSD_NCELLS', 0.0)","('NTF_BUZZ_VOLUME', 0.0)","('NTF_BUZZ_VOLUME', 0.0)","('INS_TCAL3_ACC3_Y', 0.0)","('GRIP_ENABLE', 0.0)","('GRIP_ENABLE', 0.0)","('OA_BR_TYPE', 0.0)","('MNT_ANGMIN_TIL', 0.0)","('H_SW2_H3_ENABLE', 0.0)","('MOT_YAW_SV_ANGLE', 0.0)","('MNT2_NEUTRAL_X', 0.0)","('INS_GYR3OFFS_Y', 0.0)","('FENCE_ENABLE', 0.0)","('FFT_SNR_REF', 0.0)","('FLOW_POS_Y', 0.0)","('INS_TCAL2_ACC2_X', 0.0)","('INS_ACC1_CALTEMP', 0.0)"
1376,"('MOT_YAW_SV_ANGLE', 0.0)","('BATT5_FL_V_MULT', 0.0)","('BATT_LOW_MAH', 0.0)","('BATT7_FL_V_MULT', 0.0)","('INS_TCAL2_GYR1_Z', 0.0)","('LGR_WOW_POL', 0.0)","('MNT_RC_RATE', 0.0)","('LOG_FILE_TIMEOUT', 0.0)","('MOT_YAW_HEADROOM', 0.0)","('MNT_ANGMAX_PAN', 0.0)","('MNT_STAB_PAN', 0.0)","('OSD_W_NSAT', 0.0)","('MSP_OPTIONS', 0.0)","('MSP_OPTIONS', 0.0)","('NTF_LED_LEN', 0.0)","('NTF_LED_LEN', 0.0)","('INS_TCAL3_ACC3_Z', 0.0)","('GRIP_TYPE', 0.0)","('GRIP_TYPE', 0.0)","('OA_DB_SIZE', 0.0)","('MNT_ANGMAX_TIL', 0.0)","('H_SW2_H3_SV1_POS', 0.0)","('MOT_SPOOL_TIME', 0.0)","('MNT2_NEUTRAL_Y', 0.0)","('INS_GYR3OFFS_Z', 0.0)","('FENCE_TYPE', 0.0)","('FFT_ATT_REF', 0.0)","('FLOW_POS_Z', 0.0)","('INS_TCAL2_ACC2_Y', 0.0)","('INS_GYR1_CALTEMP', 0.0)"
1377,"('MOT_SPOOL_TIME', 0.0)","('BATT5_FL_FLTR', 0.0)","('BATT_CRT_VOLT', 0.0)","('BATT7_FL_FLTR', 0.0)","('INS_TCAL2_GYR2_X', 0.0)","('LGR_DEPLOY_ALT', 0.0)","('MNT2_DEFLT_MODE', 0.0)","('LOG_FILE_RATEMAX', 0.0)","('MOT_THST_EXPO', 0.0)","('MNT_RC_RATE', 0.0)","('MNT_RC_IN_ROLL', 0.0)","('OSD_W_BATVOLT', 0.0)","('NTF_LED_BRIGHT', 0.0)","('NTF_LED_BRIGHT', 0.0)","('OA_TYPE', 0.0)","('OA_TYPE', 0.0)","('INS_TCAL3_GYR1_X', 0.0)","('GRIP_GRAB', 0.0)","('GRIP_GRAB', 0.0)","('OA_DB_EXPIRE', 0.0)","('MNT_RC_IN_PAN', 0.0)","('H_SW2_H3_SV2_POS', 0.0)","('MOT_BOOST_SCALE', 0.0)","('MNT2_NEUTRAL_Z', 0.0)","('INS_ACCSCAL_X', 0.0)","('FENCE_ACTION', 0.0)","('FFT_BW_HOVER', 0.0)","('FLOW_ADDR', 0.0)","('INS_TCAL2_ACC2_Z', 0.0)","('INS_ACC2_CALTEMP', 0.0)"
1378,"('MOT_BAT_IDX', 0.0)","('BATT5_FL_PIN', 0.0)","('BATT_CRT_MAH', 0.0)","('BATT7_FL_PIN', 0.0)","('INS_TCAL2_GYR2_Y', 0.0)","('LGR_RETRACT_ALT', 0.0)","('MNT2_TYPE', 0.0)","('LOG_MAV_RATEMAX', 0.0)","('MOT_SPIN_MAX', 0.0)","('MNT2_DEFLT_MODE', 0.0)","('MNT_ANGMIN_ROL', 0.0)","('OSD_UNITS', 0.0)","('NTF_BUZZ_TYPES', 0.0)","('NTF_BUZZ_TYPES', 0.0)","('OA_MARGIN_MAX', 0.0)","('OA_MARGIN_MAX', 0.0)","('INS_TCAL3_GYR1_Y', 0.0)","('GRIP_RELEASE', 0.0)","('GRIP_RELEASE', 0.0)","('OA_DB_QUEUE_SIZE', 0.0)","('MNT_ANGMIN_PAN', 0.0)","('H_SW2_H3_SV3_POS', 0.0)","('MOT_BAT_IDX', 0.0)","('MNT2_STAB_ROLL', 0.0)","('INS_ACCSCAL_Y', 0.0)","('FENCE_ALT_MAX', 0.0)","('FFT_HMNC_FIT', 0.0)","('FOLL_SYSID', 0.0)","('INS_TCAL2_ACC3_X', 0.0)","('INS_GYR2_CALTEMP', 0.0)"
1379,"('MOT_SLEW_UP_TIME', 0.0)","('BATT6_CAPACITY', 0.0)","('BATT_FS_LOW_ACT', 0.0)","('BATT8_CAPACITY', 0.0)","('INS_TCAL2_GYR2_Z', 0.0)","('LOG_BACKEND_TYPE', 0.0)","('MOT_THST_EXPO', 0.0)","('LOG_BLK_RATEMAX', 0.0)","('MOT_BAT_VOLT_MAX', 0.0)","('MNT2_RETRACT_X', 0.0)","('MNT_ANGMAX_ROL', 0.0)","('OSD_MSG_TIME', 0.0)","('NTF_LED_OVERRIDE', 0.0)","('NTF_LED_OVERRIDE', 0.0)","('OA_OPTIONS', 0.0)","('OA_OPTIONS', 0.0)","('INS_TCAL3_GYR1_Z', 0.0)","('GRIP_NEUTRAL', 0.0)","('GRIP_NEUTRAL', 0.0)","('OA_DB_OUTPUT', 0.0)","('MNT_ANGMAX_PAN', 0.0)","('H_SW2_H3_PHANG', 0.0)","('MOT_SLEW_UP_TIME', 0.0)","('MNT2_STAB_TILT', 0.0)","('INS_ACCSCAL_Z', 0.0)","('FENCE_RADIUS', 0.0)","('FFT_HMNC_PEAK', 0.0)","('FOLL_DIST_MAX', 0.0)","('INS_TCAL2_ACC3_Y', 0.0)","('INS_ACC3_CALTEMP', 0.0)"
1380,"('MOT_SLEW_DN_TIME', 0.0)","('BATT6_SERIAL_NUM', 0.0)","('BATT_FS_CRT_ACT', 0.0)","('BATT8_SERIAL_NUM', 0.0)","('INS_TCAL2_GYR3_X', 0.0)","('LOG_FILE_BUFSIZE', 0.0)","('MOT_SPIN_MAX', 0.0)","('LOIT_ACC_MAX', 0.0)","('MOT_BAT_VOLT_MIN', 0.0)","('MNT2_RETRACT_Y', 0.0)","('MNT_RC_IN_PAN', 0.0)","('OSD_ARM_SCR', 0.0)","('NTF_DISPLAY_TYPE', 0.0)","('NTF_DISPLAY_TYPE', 0.0)","('OA_BR_LOOKAHEAD', 0.0)","('OA_BR_LOOKAHEAD', 0.0)","('INS_TCAL3_GYR2_X', 0.0)","('GRIP_REGRAB', 0.0)","('GRIP_REGRAB', 0.0)","('OA_DB_BEAM_WIDTH', 0.0)","('MNT_RC_RATE', 0.0)","('H_DCP_TRIM', 0.0)","('MOT_SLEW_DN_TIME', 0.0)","('MNT2_STAB_PAN', 0.0)","('INS_ACCOFFS_X', 0.0)","('FENCE_MARGIN', 0.0)","('FHLD_XY_P', 0.0)","('FOLL_OFS_TYPE', 0.0)","('INS_TCAL2_ACC3_Z', 0.0)","('INS_GYR3_CALTEMP', 0.0)"
1381,"('MOT_SAFE_TIME', 0.0)","('BATT6_LOW_TIMER', 0.0)","('BATT_ARM_VOLT', 0.0)","('BATT8_LOW_TIMER', 0.0)","('INS_TCAL2_GYR3_Y', 0.0)","('LOG_DISARMED', 0.0)","('MOT_BAT_VOLT_MAX', 0.0)","('LOIT_BRK_ACCEL', 0.0)","('MOT_BAT_CURR_MAX', 0.0)","('MNT2_RETRACT_Z', 0.0)","('MNT_ANGMIN_PAN', 0.0)","('OSD_DSARM_SCR', 0.0)","('NTF_OREO_THEME', 0.0)","('NTF_OREO_THEME', 0.0)","('OA_BR_CONT_RATIO', 0.0)","('OA_BR_CONT_RATIO', 0.0)","('INS_TCAL3_GYR2_Y', 0.0)","('GRIP_CAN_ID', 0.0)","('GRIP_CAN_ID', 0.0)","('OA_DB_RADIUS_MIN', 0.0)","('MNT2_RETRACT_X', 0.0)","('H_COL_MIN', 0.0)","('MOT_SAFE_TIME', 0.0)","('MNT2_RC_IN_ROLL', 0.0)","('INS_ACCOFFS_Y', 0.0)","('FENCE_TOTAL', 0.0)","('FHLD_XY_I', 0.0)","('FOLL_YAW_BEHAVE', 0.0)","('INS_TCAL2_GYR1_X', 0.0)","('INS_TCAL_OPTIONS', 0.0)"
1382,"('MSP_OSD_NCELLS', 0.0)","('BATT6_FS_VOLTSRC', 0.0)","('BATT_ARM_MAH', 0.0)","('BATT8_FS_VOLTSRC', 0.0)","('INS_TCAL2_GYR3_Z', 0.0)","('LOG_REPLAY', 0.0)","('MOT_BAT_VOLT_MIN', 0.0)","('LOIT_BRK_JERK', 0.0)","('MOT_PWM_TYPE', 0.0)","('MNT2_NEUTRAL_X', 0.0)","('MNT_ANGMAX_PAN', 0.0)","('OSD_FS_SCR', 0.0)","('NTF_BUZZ_PIN', 0.0)","('NTF_BUZZ_PIN', 0.0)","('OA_BR_CONT_ANGLE', 0.0)","('OA_BR_CONT_ANGLE', 0.0)","('INS_TCAL3_GYR2_Z', 0.0)","('GRIP_AUTOCLOSE', 0.0)","('GRIP_AUTOCLOSE', 0.0)","('OA_DB_DIST_MAX', 0.0)","('MNT2_RETRACT_Y', 0.0)","('H_COL_MAX', 0.0)","('MSP_OSD_NCELLS', 0.0)","('MNT2_ANGMIN_ROL', 0.0)","('INS_ACCOFFS_Z', 0.0)","('FFT_ENABLE', 0.0)","('FHLD_XY_IMAX', 0.0)","('FOLL_POS_P', 0.0)","('INS_TCAL2_GYR1_Y', 0.0)","('INS_HNTC2_ENABLE', 0.0)"
1383,"('MSP_OPTIONS', 0.0)","('BATT6_ARM_VOLT', 0.0)","('BATT_OPTIONS', 0.0)","('BATT8_ARM_VOLT', 0.0)","('INS_TCAL3_ENABLE', 0.0)","('LOG_MAV_BUFSIZE', 0.0)","('MOT_BAT_CURR_MAX', 0.0)","('MIS_OPTIONS', 0.0)","('MOT_PWM_MIN', 0.0)","('MNT2_NEUTRAL_Y', 0.0)","('MNT_LEAD_RLL', 0.0)","('OSD_W_TERR', 0.0)","('NTF_LED_TYPES', 0.0)","('NTF_LED_TYPES', 0.0)","('OA_BR_TYPE', 0.0)","('OA_BR_TYPE', 0.0)","('INS_TCAL3_GYR3_X', 0.0)","('H_TAIL_TYPE', 0.0)","('H_TAIL_TYPE', 0.0)","('OA_DB_ALT_MIN', 0.0)","('MNT2_RETRACT_Z', 0.0)","('H_SV_TEST', 0.0)","('MSP_OPTIONS', 0.0)","('MNT2_ANGMAX_ROL', 0.0)","('INS_ACC2SCAL_X', 0.0)","('FFT_MAXHZ', 0.0)","('FHLD_FLOW_MAX', 0.0)","('FRSKY_UPLINK_ID', 0.0)","('INS_TCAL2_GYR1_Z', 0.0)","('INS_HNTC2_BW', 0.0)"
1384,"('NTF_LED_BRIGHT', 0.0)","('BATT6_OPTIONS', 0.0)","('BATT_VOLT_PIN', 0.0)","('BATT8_OPTIONS', 0.0)","('INS_TCAL3_TMIN', 0.0)","('LOG_FILE_TIMEOUT', 0.0)","('MOT_PWM_TYPE', 0.0)","('MNT_TYPE', 0.0)","('MOT_PWM_MAX', 0.0)","('MNT2_NEUTRAL_Z', 0.0)","('MNT_LEAD_PTCH', 0.0)","('OSD_W_AVGCELLV', 0.0)","('NTF_BUZZ_ON_LVL', 0.0)","('NTF_BUZZ_ON_LVL', 0.0)","('OA_DB_SIZE', 0.0)","('OA_DB_SIZE', 0.0)","('INS_TCAL3_GYR3_Y', 0.0)","('H_GYR_GAIN', 0.0)","('H_GYR_GAIN', 0.0)","('OSD_TYPE', 0.0)","('MNT2_NEUTRAL_X', 0.0)","('H_COL_HOVER', 0.0)","('NTF_LED_BRIGHT', 0.0)","('MNT2_RC_IN_TILT', 0.0)","('INS_ACC2SCAL_Y', 0.0)","('FFT_WINDOW_OLAP', 0.0)","('FHLD_FILT_HZ', 0.0)","('FRSKY_DNLINK1_ID', 0.0)","('INS_TCAL2_GYR2_X', 0.0)","('INS_HNTC2_ATT', 0.0)"
1385,"('NTF_BUZZ_TYPES', 0.0)","('BATT6_VOLT_PIN', 0.0)","('BATT_VOLT_MULT', 0.0)","('BATT8_VOLT_PIN', 0.0)","('INS_TCAL3_TMAX', 0.0)","('LOG_FILE_RATEMAX', 0.0)","('MOT_PWM_MIN', 0.0)","('MNT_RETRACT_X', 0.0)","('MOT_SPIN_MIN', 0.0)","('MNT2_STAB_ROLL', 0.0)","('MNT2_DEFLT_MODE', 0.0)","('OSD_CELL_COUNT', 0.0)","('NTF_BUZZ_VOLUME', 0.0)","('NTF_BUZZ_VOLUME', 0.0)","('OA_DB_EXPIRE', 0.0)","('OA_DB_EXPIRE', 0.0)","('INS_TCAL3_GYR3_Z', 0.0)","('H_COLYAW', 0.0)","('H_COLYAW', 0.0)","('OSD_CHAN', 0.0)","('MNT2_NEUTRAL_Y', 0.0)","('H_HOVER_LEARN', 0.0)","('NTF_BUZZ_TYPES', 0.0)","('MNT2_ANGMIN_TIL', 0.0)","('INS_ACC2SCAL_Z', 0.0)","('FFT_FREQ_HOVER', 0.0)","('FHLD_QUAL_MIN', 0.0)","('FRSKY_DNLINK2_ID', 0.0)","('INS_TCAL2_GYR2_Y', 0.0)","('INS_HNTC2_HMNCS', 0.0)"
1386,"('NTF_LED_OVERRIDE', 0.0)","('BATT6_VOLT_MULT', 0.0)","('BATT_VLT_OFFSET', 0.0)","('BATT8_VOLT_MULT', 0.0)","('INS_TCAL3_ACC1_X', 0.0)","('LOG_MAV_RATEMAX', 0.0)","('MOT_PWM_MAX', 0.0)","('MNT_RETRACT_Y', 0.0)","('MOT_SPIN_ARM', 0.0)","('MNT2_STAB_TILT', 0.0)","('MNT2_RETRACT_X', 0.0)","('OSD_W_RESTVOLT', 0.0)","('NTF_LED_LEN', 0.0)","('NTF_LED_LEN', 0.0)","('OA_DB_QUEUE_SIZE', 0.0)","('OA_DB_QUEUE_SIZE', 0.0)","('LGR_DEPLOY_PIN', 0.0)","('H_FLYBAR_MODE', 0.0)","('H_FLYBAR_MODE', 0.0)","('OSD_SW_METHOD', 0.0)","('MNT2_NEUTRAL_Z', 0.0)","('H_OPTIONS', 0.0)","('NTF_LED_OVERRIDE', 0.0)","('MNT2_ANGMAX_TIL', 0.0)","('INS_ACC2OFFS_X', 0.0)","('FFT_SNR_REF', 0.0)","('FHLD_BRAKE_RATE', 0.0)","('FRSKY_DNLINK_ID', 0.0)","('INS_TCAL2_GYR2_Z', 0.0)","('INS_HNTC2_OPTS', 0.0)"
