id,name,description,1:enumVals,1:minValue,1:maxValue,1:increment,1:empty/reserved,1:description,2:enumVals,2:minValue,2:maxValue,2:increment,2:empty/reserved,2:description,3:enumVals,3:minValue,3:maxValue,3:increment,3:empty/reserved,3:description,4:enumVals,4:minValue,4:maxValue,4:increment,4:empty/reserved,4:description,5:enumVals,5:minValue,5:maxValue,5:increment,5:empty/reserved,5:description,6:enumVals,6:minValue,6:maxValue,6:increment,6:empty/reserved,6:description,7:enumVals,7:minValue,7:maxValue,7:increment,7:empty/reserved,7:description
209,MAV_CMD_DO_MOTOR_TEST,Command to perform motor test.,,1,,1,no,Motor instance number (from 1 to max number of motors on the vehicle).,0|1|2|3,,,,no,"Throttle type (whether the Throttle Value in param3 is a percentage, PWM value, etc.)",,,,,no,Throttle value.,,0,,,no,Timeout between tests that are run in sequence.,,0,,1,no,"Motor count. Number of motors to test in sequence: 0/1=one motor, 2= two motors, etc. The Timeout (param4) is used between tests.",0|1|2,,,,no,Motor test order.,,,,,yes,Empty
210,MAV_CMD_DO_INVERTED_FLIGHT,Change to/from inverted flight.,,0,1,1,no,"Inverted flight. (0=normal, 1=inverted)",,,,,yes,Empty,,,,,yes,Empty,,,,,yes,Empty,,,,,yes,Empty,,,,,yes,Empty,,,,,yes,Empty
211,MAV_CMD_DO_GRIPPER,Mission command to operate a gripper.,,1,,1,no,Gripper instance number.,0|1,,,,no,Gripper action to perform.,,,,,yes,Empty,,,,,yes,Empty,,,,,yes,Empty,,,,,yes,Empty,,,,,yes,Empty
212,MAV_CMD_DO_AUTOTUNE_ENABLE,Enable/disable autotune.,,0,1,1,no,"Enable (1: enable, 0:disable).",0|1|2|4,,,,no,Specify which axis are autotuned. 0 indicates autopilot default settings.,,,,,yes,Empty.,,,,,yes,Empty.,,,,,yes,Empty.,,,,,yes,Empty.,,,,,yes,Empty.
213,MAV_CMD_NAV_SET_YAW_SPEED,Sets a desired vehicle turn angle and speed change.,,,,,no,Yaw angle to adjust steering by.,,,,,no,Speed.,,0,1,1,no,"Final angle. (0=absolute, 1=relative)",,,,,yes,Empty,,,,,yes,Empty,,,,,yes,Empty,,,,,yes,Empty
214,MAV_CMD_DO_SET_CAM_TRIGG_INTERVAL,"Mission command to set camera trigger interval for this flight. If triggering is enabled, the camera is triggered each time this interval expires. This command can also be used to set the shutter integration time for the camera.",,-1,,1,no,Camera trigger cycle time. -1 or 0 to ignore.,,-1,,1,no,Camera shutter integration time. Should be less than trigger cycle time. -1 or 0 to ignore.,,,,,yes,Empty,,,,,yes,Empty,,,,,yes,Empty,,,,,yes,Empty,,,,,yes,Empty
220,MAV_CMD_DO_MOUNT_CONTROL_QUAT,"Mission command to control a camera or antenna mount, using a quaternion as reference.",,,,,no,"quaternion param q1, w (1 in null-rotation)",,,,,no,"quaternion param q2, x (0 in null-rotation)",,,,,no,"quaternion param q3, y (0 in null-rotation)",,,,,no,"quaternion param q4, z (0 in null-rotation)",,,,,yes,Empty,,,,,yes,Empty,,,,,yes,Empty
221,MAV_CMD_DO_GUIDED_MASTER,set id of master controller,,0,255,1,no,System ID,,0,255,1,no,Component ID,,,,,yes,Empty,,,,,yes,Empty,,,,,yes,Empty,,,,,yes,Empty,,,,,yes,Empty
222,MAV_CMD_DO_GUIDED_LIMITS,Set limits for external control,,0,,,no,Timeout - maximum time that external controller will be allowed to control vehicle. 0 means no timeout.,,,,,no,"Altitude (MSL) min - if vehicle moves below this alt, the command will be aborted and the mission will continue. 0 means no lower altitude limit.",,,,,no,"Altitude (MSL) max - if vehicle moves above this alt, the command will be aborted and the mission will continue. 0 means no upper altitude limit.",,0,,,no,"Horizontal move limit - if vehicle moves more than this distance from its location at the moment the command was executed, the command will be aborted and the mission will continue. 0 means no horizontal move limit.",,,,,yes,Empty,,,,,yes,Empty,,,,,yes,Empty
223,MAV_CMD_DO_ENGINE_CONTROL,Control vehicle engine. This is interpreted by the vehicles engine controller to change the target engine state. It is intended for vehicles with internal combustion engines,,0,1,1,no,"0: Stop engine, 1:Start Engine",,0,1,1,no,"0: Warm start, 1:Cold start. Controls use of choke where applicable",,0,,,no,Height delay. This is for commanding engine start only after the vehicle has gained the specified height. Used in VTOL vehicles during takeoff to start engine after the aircraft is off the ground. Zero for no delay.,,,,,yes,Empty,,,,,yes,Empty,,,,,yes,Empty,,,,,yes,Empty
224,MAV_CMD_DO_SET_MISSION_CURRENT,"
          Set the mission item with sequence number seq as the current item and emit MISSION_CURRENT (whether or not the mission number changed).
          If a mission is currently being executed, the system will continue to this new mission item on the shortest path, skipping any intermediate mission items.
	  Note that mission jump repeat counters are not reset unless param2 is set (see MAV_CMD_DO_JUMP param2).

          This command may trigger a mission state-machine change on some systems: for example from MISSION_STATE_NOT_STARTED or MISSION_STATE_PAUSED to MISSION_STATE_ACTIVE.
          If the system is in mission mode, on those systems this command might therefore start, restart or resume the mission.
          If the system is not in mission mode this command must not trigger a switch to mission mode.

          The mission may be ""reset"" using param2.
          Resetting sets jump counters to initial values (to reset counters without changing the current mission item set the param1 to `-1`).
          Resetting also explicitly changes a mission state of MISSION_STATE_COMPLETE to MISSION_STATE_PAUSED or MISSION_STATE_ACTIVE, potentially allowing it to resume when it is (next) in a mission mode.

	  The command will ACK with MAV_RESULT_FAILED if the sequence number is out of range (including if there is no mission item).
        ",,-1,,1,no,Mission sequence value to set. -1 for the current mission item (use to reset mission without changing current mission item).,,0,1,1,no,"Resets mission. 1: true, 0: false. Resets jump counters to initial values and changes mission state ""completed"" to be ""active"" or ""paused"".",,,,,yes,Empty,,,,,yes,Empty,,,,,yes,Empty,,,,,yes,Empty,,,,,yes,Empty
240,MAV_CMD_DO_LAST,NOP - This command is only used to mark the upper limit of the DO commands in the enumeration,,,,,yes,Empty,,,,,yes,Empty,,,,,yes,Empty,,,,,yes,Empty,,,,,yes,Empty,,,,,yes,Empty,,,,,yes,Empty
241,MAV_CMD_PREFLIGHT_CALIBRATION,"Trigger calibration. This command will be only accepted if in pre-flight mode. Except for Temperature Calibration, only one sensor should be set in a single message and all others should be zero.",,0,3,1,no,"1: gyro calibration, 3: gyro temperature calibration",,0,1,1,no,1: magnetometer calibration,,0,1,1,no,1: ground pressure calibration,,0,1,1,no,"1: radio RC calibration, 2: RC trim calibration",,0,4,1,no,"1: accelerometer calibration, 2: board level calibration, 3: accelerometer temperature calibration, 4: simple accelerometer calibration",,0,2,1,no,"1: APM: compass/motor interference calibration (PX4: airspeed calibration, deprecated), 2: airspeed calibration",,0,3,1,no,"1: ESC calibration, 3: barometer temperature calibration"
242,MAV_CMD_PREFLIGHT_SET_SENSOR_OFFSETS,Set sensor offsets. This command will be only accepted if in pre-flight mode.,,0,6,1,no,"Sensor to adjust the offsets for: 0: gyros, 1: accelerometer, 2: magnetometer, 3: barometer, 4: optical flow, 5: second magnetometer, 6: third magnetometer",,,,,no,"X axis offset (or generic dimension 1), in the sensor's raw units",,,,,no,"Y axis offset (or generic dimension 2), in the sensor's raw units",,,,,no,"Z axis offset (or generic dimension 3), in the sensor's raw units",,,,,no,"Generic dimension 4, in the sensor's raw units",,,,,no,"Generic dimension 5, in the sensor's raw units",,,,,no,"Generic dimension 6, in the sensor's raw units"
243,MAV_CMD_PREFLIGHT_UAVCAN,"Trigger UAVCAN configuration (actuator ID assignment and direction mapping). Note that this maps to the legacy UAVCAN v0 function UAVCAN_ENUMERATE, which is intended to be executed just once during initial vehicle configuration (it is not a normal pre-flight command and has been poorly named).",,,,,no,1: Trigger actuator ID assignment and direction mapping. 0: Cancel command.,,,,,yes,Reserved,,,,,yes,Reserved,,,,,yes,Reserved,,,,,yes,Reserved,,,,,yes,Reserved,,,,,yes,Reserved
245,MAV_CMD_PREFLIGHT_STORAGE,Request storage of different parameter values and logs. This command will be only accepted if in pre-flight mode.,0|1|2|3|4,,,,no,Action to perform on the persistent parameter storage,0|1|2,,,,no,Action to perform on the persistent mission storage,,-1,,1,no,"Onboard logging: 0: Ignore, 1: Start default rate logging, -1: Stop logging, > 1: logging rate (e.g. set to 1000 for 1000 Hz logging)",,,,,yes,Reserved,,,,,yes,Empty,,,,,yes,Empty,,,,,yes,Empty
246,MAV_CMD_PREFLIGHT_REBOOT_SHUTDOWN,Request the reboot or shutdown of system components.,,0,3,1,no,"0: Do nothing for autopilot, 1: Reboot autopilot, 2: Shutdown autopilot, 3: Reboot autopilot and keep it in the bootloader until upgraded.",,0,3,1,no,"0: Do nothing for onboard computer, 1: Reboot onboard computer, 2: Shutdown onboard computer, 3: Reboot onboard computer and keep it in the bootloader until upgraded.",,0,3,1,no,"0: Do nothing for component, 1: Reboot component, 2: Shutdown component, 3: Reboot component and keep it in the bootloader until upgraded",,0,255,1,no,MAVLink Component ID targeted in param3 (0 for all components).,,,,,yes,Reserved (set to 0),,,,,yes,Reserved (set to 0),,,,,no,WIP: ID (e.g. camera ID -1 for all IDs)
252,MAV_CMD_OVERRIDE_GOTO,"Override current mission with command to pause mission, pause mission and move to position, continue/resume mission. When param 1 indicates that the mission is paused (MAV_GOTO_DO_HOLD), param 2 defines whether it holds in place or moves to another position.",0|1|2|3,,,,no,"MAV_GOTO_DO_HOLD: pause mission and either hold or move to specified position (depending on param2), MAV_GOTO_DO_CONTINUE: resume mission.",0|1|2|3,,,,no,"MAV_GOTO_HOLD_AT_CURRENT_POSITION: hold at current position, MAV_GOTO_HOLD_AT_SPECIFIED_POSITION: hold at specified position.",0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21,,,,no,Coordinate frame of hold point.,,,,,no,Desired yaw angle.,,,,,no,Latitude/X position.,,,,,no,Longitude/Y position.,,,,,no,Altitude/Z position.
260,MAV_CMD_OBLIQUE_SURVEY,"Mission command to set a Camera Auto Mount Pivoting Oblique Survey (Replaces CAM_TRIGG_DIST for this purpose). The camera is triggered each time this distance is exceeded, then the mount moves to the next position. Params 4~6 set-up the angle limits and number of positions for oblique survey, where mount-enabled vehicles automatically roll the camera between shots to emulate an oblique camera setup (providing an increased HFOV). This command can also be used to set the shutter integration time for the camera.",,0,,,no,Camera trigger distance. 0 to stop triggering.,,0,,1,no,Camera shutter integration time. 0 to ignore,,0,10000,1,no,The minimum interval in which the camera is capable of taking subsequent pictures repeatedly. 0 to ignore.,,2,,1,no,Total number of roll positions at which the camera will capture photos (images captures spread evenly across the limits defined by param5).,,0,,,no,Angle limits that the camera can be rolled to left and right of center.,,-180,180,,no,Fixed pitch angle that the camera will hold in oblique mode if the mount is actuated in the pitch axis.,,,,,yes,Empty
300,MAV_CMD_MISSION_START,start running a mission,,0,,1,no,first_item: the first mission item to run,,0,,1,no,"last_item:  the last mission item to run (after this item is run, the mission ends)",,,,,yes,,,,,,yes,,,,,,yes,,,,,,yes,,,,,,yes,
310,MAV_CMD_ACTUATOR_TEST,"Actuator testing command. This is similar to MAV_CMD_DO_MOTOR_TEST but operates on the level of output functions, i.e. it is possible to test Motor1 independent from which output it is configured on. Autopilots typically refuse this command while armed.",,-1,1,,no,"Output value: 1 means maximum positive output, 0 to center servos or minimum motor thrust (expected to spin), -1 for maximum negative (if not supported by the motors, i.e. motor is not reversible, smaller than 0 maps to NaN). And NaN maps to disarmed (stop the motors).",,0,3,,no,Timeout after which the test command expires and the output is restored to the previous value. A timeout has to be set for safety reasons. A timeout of 0 means to restore the previous value immediately.,,,,,yes,,,,,,yes,,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48,,,,no,Actuator Output function,,,,,yes,,,,,,yes,
311,MAV_CMD_CONFIGURE_ACTUATOR,Actuator configuration command.,0|1|2|3|4|5,,,,no,Actuator configuration action,,,,,yes,,,,,,yes,,,,,,yes,,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48,,,,no,Actuator Output function,,,,,yes,,,,,,yes,
400,MAV_CMD_COMPONENT_ARM_DISARM,Arms / Disarms a component,,0,1,1,no,"0: disarm, 1: arm",,0,21196,21196,no,"0: arm-disarm unless prevented by safety checks (i.e. when landed), 21196: force arming/disarming (e.g. allow arming to override preflight checks and disarming in flight)",,,,,yes,,,,,,yes,,,,,,yes,,,,,,yes,,,,,,yes,
401,MAV_CMD_RUN_PREARM_CHECKS,"Instructs a target system to run pre-arm checks.
          This allows preflight checks to be run on demand, which may be useful on systems that normally run them at low rate, or which do not trigger checks when the armable state might have changed.
          This command should return MAV_RESULT_ACCEPTED if it will run the checks.
          The results of the checks are usually then reported in SYS_STATUS messages (this is system-specific).
          The command should return MAV_RESULT_TEMPORARILY_REJECTED if the system is already armed.
        ",,,,,yes,,,,,,yes,,,,,,yes,,,,,,yes,,,,,,yes,,,,,,yes,,,,,,yes,
405,MAV_CMD_ILLUMINATOR_ON_OFF,"Turns illuminators ON/OFF. An illuminator is a light source that is used for lighting up dark areas external to the sytstem: e.g. a torch or searchlight (as opposed to a light source for illuminating the system itself, e.g. an indicator light).",,0,1,1,no,"0: Illuminators OFF, 1: Illuminators ON",,,,,yes,,,,,,yes,,,,,,yes,,,,,,yes,,,,,,yes,,,,,,yes,
410,MAV_CMD_GET_HOME_POSITION,"Request the home position from the vehicle.
	  The vehicle will ACK the command and then emit the HOME_POSITION message.",,,,,yes,Reserved,,,,,yes,Reserved,,,,,yes,Reserved,,,,,yes,Reserved,,,,,yes,Reserved,,,,,yes,Reserved,,,,,yes,Reserved
420,MAV_CMD_INJECT_FAILURE,Inject artificial failure for testing purposes. Note that autopilots should implement an additional protection before accepting this command such as a specific param setting.,0|1|2|3|4|5|6|7|8|100|101|102|103|104|105,,,,no,The unit which is affected by the failure.,0|1|2|3|4|5|6|7,,,,no,The type how the failure manifests itself.,,,,,no,Instance affected by failure (0 to signal all).,,,,,yes,,,,,,yes,,,,,,yes,,,,,,yes,
500,MAV_CMD_START_RX_PAIR,Starts receiver pairing.,,,,,no,0:Spektrum.,0|1,,,,no,RC type.,,,,,yes,,,,,,yes,,,,,,yes,,,,,,yes,,,,,,yes,
510,MAV_CMD_GET_MESSAGE_INTERVAL,"
          Request the interval between messages for a particular MAVLink message ID.
          The receiver should ACK the command and then emit its response in a MESSAGE_INTERVAL message.
        ",,0,16777215,1,no,The MAVLink message ID,,,,,yes,,,,,,yes,,,,,,yes,,,,,,yes,,,,,,yes,,,,,,yes,
511,MAV_CMD_SET_MESSAGE_INTERVAL,Set the interval between messages for a particular MAVLink message ID. This interface replaces REQUEST_DATA_STREAM.,,0,16777215,1,no,The MAVLink message ID,,-1,,1,no,The interval between two messages. Set to -1 to disable and 0 to request default rate.,,,,,yes,,,,,,yes,,,,,,yes,,,,,,yes,,,0,2,1,no,"Target address of message stream (if message has target address fields). 0: Flight-stack default (recommended), 1: address of requestor, 2: broadcast."
512,MAV_CMD_REQUEST_MESSAGE,"Request the target system(s) emit a single instance of a specified message (i.e. a ""one-shot"" version of MAV_CMD_SET_MESSAGE_INTERVAL).",,0,16777215,1,no,The MAVLink message ID of the requested message.,,,,,no,"Use for index ID, if required. Otherwise, the use of this parameter (if any) must be defined in the requested message. By default assumed not used (0).",,,,,no,"The use of this parameter (if any), must be defined in the requested message. By default assumed not used (0).",,,,,no,"The use of this parameter (if any), must be defined in the requested message. By default assumed not used (0).",,,,,no,"The use of this parameter (if any), must be defined in the requested message. By default assumed not used (0).",,,,,no,"The use of this parameter (if any), must be defined in the requested message. By default assumed not used (0).",,0,2,1,no,"Target address for requested message (if message has target address fields). 0: Flight-stack default, 1: address of requestor, 2: broadcast."
519,MAV_CMD_REQUEST_PROTOCOL_VERSION,Request MAVLink protocol version compatibility. All receivers should ACK the command and then emit their capabilities in an PROTOCOL_VERSION message,,0,1,1,no,1: Request supported protocol versions by all nodes on the network,,,,,yes,Reserved (all remaining params),,,,,yes,,,,,,yes,,,,,,yes,,,,,,yes,,,,,,yes,
520,MAV_CMD_REQUEST_AUTOPILOT_CAPABILITIES,Request autopilot capabilities. The receiver should ACK the command and then emit its capabilities in an AUTOPILOT_VERSION message,,0,1,1,no,1: Request autopilot version,,,,,yes,Reserved (all remaining params),,,,,yes,,,,,,yes,,,,,,yes,,,,,,yes,,,,,,yes,
521,MAV_CMD_REQUEST_CAMERA_INFORMATION,Request camera information (CAMERA_INFORMATION).,,0,1,1,no,0: No action 1: Request camera capabilities,,,,,yes,Reserved (all remaining params),,,,,yes,,,,,,yes,,,,,,yes,,,,,,yes,,,,,,yes,
522,MAV_CMD_REQUEST_CAMERA_SETTINGS,Request camera settings (CAMERA_SETTINGS).,,0,1,1,no,0: No Action 1: Request camera settings,,,,,yes,Reserved (all remaining params),,,,,yes,,,,,,yes,,,,,,yes,,,,,,yes,,,,,,yes,
525,MAV_CMD_REQUEST_STORAGE_INFORMATION,Request storage information (STORAGE_INFORMATION). Use the command's target_component to target a specific component's storage.,,0,,1,no,"Storage ID (0 for all, 1 for first, 2 for second, etc.)",,0,1,1,no,0: No Action 1: Request storage information,,,,,yes,Reserved (all remaining params),,,,,yes,,,,,,yes,,,,,,yes,,,,,,yes,
526,MAV_CMD_STORAGE_FORMAT,"Format a storage medium. Once format is complete, a STORAGE_INFORMATION message is sent. Use the command's target_component to target a specific component's storage.",,0,,1,no,"Storage ID (1 for first, 2 for second, etc.)",,0,1,1,no,Format storage (and reset image log). 0: No action 1: Format storage,,0,1,1,no,Reset Image Log (without formatting storage medium). This will reset CAMERA_CAPTURE_STATUS.image_count and CAMERA_IMAGE_CAPTURED.image_index. 0: No action 1: Reset Image Log,,,,,yes,Reserved (all remaining params),,,,,yes,,,,,,yes,,,,,,yes,
527,MAV_CMD_REQUEST_CAMERA_CAPTURE_STATUS,Request camera capture status (CAMERA_CAPTURE_STATUS),,0,1,1,no,0: No Action 1: Request camera capture status,,,,,yes,Reserved (all remaining params),,,,,yes,,,,,,yes,,,,,,yes,,,,,,yes,,,,,,yes,
528,MAV_CMD_REQUEST_FLIGHT_INFORMATION,Request flight information (FLIGHT_INFORMATION),,0,1,1,no,1: Request flight information,,,,,yes,Reserved (all remaining params),,,,,yes,,,,,,yes,,,,,,yes,,,,,,yes,,,,,,yes,
529,MAV_CMD_RESET_CAMERA_SETTINGS,Reset all camera settings to Factory Default,,0,1,1,no,0: No Action 1: Reset all settings,,,,,yes,Reserved (all remaining params),,,,,yes,,,,,,yes,,,,,,yes,,,,,,yes,,,,,,yes,
530,MAV_CMD_SET_CAMERA_MODE,Set camera running mode. Use NaN for reserved values. GCS will send a MAV_CMD_REQUEST_VIDEO_STREAM_STATUS command after a mode change if the camera supports video streaming.,,,,,yes,Reserved (Set to 0),0|1|2,,,,no,Camera mode,,,,,yes,,,,,,yes,,,,,,yes,,,,,,yes,,,,,,yes,
531,MAV_CMD_SET_CAMERA_ZOOM,Set camera zoom. Camera must respond with a CAMERA_SETTINGS message (on success).,0|1|2|3,,,,no,Zoom type,,,,,no,Zoom value. The range of valid values depend on the zoom type.,,,,,yes,,,,,,yes,,,,,,yes,,,,,,yes,,,,,,yes,
532,MAV_CMD_SET_CAMERA_FOCUS,Set camera focus. Camera must respond with a CAMERA_SETTINGS message (on success).,0|1|2|3|4|5|6,,,,no,Focus type,,,,,no,Focus value,,,,,yes,,,,,,yes,,,,,,yes,,,,,,yes,,,,,,yes,
533,MAV_CMD_SET_STORAGE_USAGE,"Set that a particular storage is the preferred location for saving photos, videos, and/or other media (e.g. to set that an SD card is used for storing videos).
          There can only be one preferred save location for each particular media type: setting a media usage flag will clear/reset that same flag if set on any other storage.
          If no flag is set the system should use its default storage.
          A target system can choose to always use default storage, in which case it should ACK the command with MAV_RESULT_UNSUPPORTED.
          A target system can choose to not allow a particular storage to be set as preferred storage, in which case it should ACK the command with MAV_RESULT_DENIED.",,0,,1,no,"Storage ID (1 for first, 2 for second, etc.)",1|2|4|8,,,,no,Usage flags,,,,,yes,,,,,,yes,,,,,,yes,,,,,,yes,,,,,,yes,
600,MAV_CMD_JUMP_TAG,Tagged jump target. Can be jumped to with MAV_CMD_DO_JUMP_TAG.,,0,,1,no,Tag.,,,,,yes,,,,,,yes,,,,,,yes,,,,,,yes,,,,,,yes,,,,,,yes,
601,MAV_CMD_DO_JUMP_TAG,"Jump to the matching tag in the mission list. Repeat this action for the specified number of times. A mission should contain a single matching tag for each jump. If this is not the case then a jump to a missing tag should complete the mission, and a jump where there are multiple matching tags should always select the one with the lowest mission sequence number.",,0,,1,no,Target tag to jump to.,,0,,1,no,Repeat count.,,,,,yes,,,,,,yes,,,,,,yes,,,,,,yes,,,,,,yes,
1000,MAV_CMD_DO_GIMBAL_MANAGER_PITCHYAW,"High level setpoint to be sent to a gimbal manager to set a gimbal attitude. It is possible to set combinations of the values below. E.g. an angle as well as a desired angular rate can be used to get to this angle at a certain angular rate, or an angular rate only will result in continuous turning. NaN is to be used to signal unset. Note: a gimbal is never to react to this command but only the gimbal manager.",,-180,180,,no,"Pitch angle (positive to pitch up, relative to vehicle for FOLLOW mode, relative to world horizon for LOCK mode).",,-180,180,,no,"Yaw angle (positive to yaw to the right, relative to vehicle for FOLLOW mode, absolute to North for LOCK mode).",,,,,no,Pitch rate (positive to pitch up).,,,,,no,Yaw rate (positive to yaw to the right).,1|2|4|8|16,,,,no,Gimbal manager flags to use.,,,,,yes,,,,,,no,"Component ID of gimbal device to address (or 1-6 for non-MAVLink gimbal), 0 for all gimbal device components. Send command multiple times for more than one gimbal (but not all gimbals)."
1001,MAV_CMD_DO_GIMBAL_MANAGER_CONFIGURE,Gimbal configuration to set which sysid/compid is in primary and secondary control.,,,,,no,"Sysid for primary control (0: no one in control, -1: leave unchanged, -2: set itself in control (for missions where the own sysid is still unknown), -3: remove control if currently in control).",,,,,no,"Compid for primary control (0: no one in control, -1: leave unchanged, -2: set itself in control (for missions where the own sysid is still unknown), -3: remove control if currently in control).",,,,,no,"Sysid for secondary control (0: no one in control, -1: leave unchanged, -2: set itself in control (for missions where the own sysid is still unknown), -3: remove control if currently in control).",,,,,no,"Compid for secondary control (0: no one in control, -1: leave unchanged, -2: set itself in control (for missions where the own sysid is still unknown), -3: remove control if currently in control).",,,,,yes,,,,,,yes,,,,,,no,"Component ID of gimbal device to address (or 1-6 for non-MAVLink gimbal), 0 for all gimbal device components. Send command multiple times for more than one gimbal (but not all gimbals)."
2000,MAV_CMD_IMAGE_START_CAPTURE,Start image capture sequence. Sends CAMERA_IMAGE_CAPTURED after each capture. Use NaN for reserved values.,,,,,yes,Reserved (Set to 0),,0,,,no,Desired elapsed time between two consecutive pictures (in seconds). Minimum values depend on hardware (typically greater than 2 seconds).,,0,,1,no,Total number of images to capture. 0 to capture forever/until MAV_CMD_IMAGE_STOP_CAPTURE.,,1,,1,no,"Capture sequence number starting from 1. This is only valid for single-capture (param3 == 1), otherwise set to 0. Increment the capture ID for each capture command to prevent double captures when a command is re-transmitted.",,,,,yes,,,,,,yes,,,,,,yes,
2001,MAV_CMD_IMAGE_STOP_CAPTURE,Stop image capture sequence Use NaN for reserved values.,,,,,yes,Reserved (Set to 0),,,,,yes,,,,,,yes,,,,,,yes,,,,,,yes,,,,,,yes,,,,,,yes,
2002,MAV_CMD_REQUEST_CAMERA_IMAGE_CAPTURE,Re-request a CAMERA_IMAGE_CAPTURED message.,,0,,1,no,Sequence number for missing CAMERA_IMAGE_CAPTURED message,,,,,yes,,,,,,yes,,,,,,yes,,,,,,yes,,,,,,yes,,,,,,yes,
2003,MAV_CMD_DO_TRIGGER_CONTROL,Enable or disable on-board camera triggering system.,,-1,1,1,no,"Trigger enable/disable (0 for disable, 1 for start), -1 to ignore",,-1,1,1,no,"1 to reset the trigger sequence, -1 or 0 to ignore",,-1,1,2,no,"1 to pause triggering, but without switching the camera off or retracting it. -1 to ignore",,,,,yes,,,,,,yes,,,,,,yes,,,,,,yes,
2004,MAV_CMD_CAMERA_TRACK_POINT,"If the camera supports point visual tracking (CAMERA_CAP_FLAGS_HAS_TRACKING_POINT is set), this command allows to initiate the tracking.",,0,1,,no,"Point to track x value (normalized 0..1, 0 is left, 1 is right).",,0,1,,no,"Point to track y value (normalized 0..1, 0 is top, 1 is bottom).",,0,1,,no,"Point radius (normalized 0..1, 0 is image left, 1 is image right).",,,,,yes,,,,,,yes,,,,,,yes,,,,,,yes,
2005,MAV_CMD_CAMERA_TRACK_RECTANGLE,"If the camera supports rectangle visual tracking (CAMERA_CAP_FLAGS_HAS_TRACKING_RECTANGLE is set), this command allows to initiate the tracking.",,0,1,,no,"Top left corner of rectangle x value (normalized 0..1, 0 is left, 1 is right).",,0,1,,no,"Top left corner of rectangle y value (normalized 0..1, 0 is top, 1 is bottom).",,0,1,,no,"Bottom right corner of rectangle x value (normalized 0..1, 0 is left, 1 is right).",,0,1,,no,"Bottom right corner of rectangle y value (normalized 0..1, 0 is top, 1 is bottom).",,,,,yes,,,,,,yes,,,,,,yes,
2010,MAV_CMD_CAMERA_STOP_TRACKING,Stops ongoing tracking.,,,,,yes,,,,,,yes,,,,,,yes,,,,,,yes,,,,,,yes,,,,,,yes,,,,,,yes,
2500,MAV_CMD_VIDEO_START_CAPTURE,Starts video capture (recording).,,0,,1,no,Video Stream ID (0 for all streams),,0,,,no,"Frequency CAMERA_CAPTURE_STATUS messages should be sent while recording (0 for no messages, otherwise frequency)",,,,,yes,,,,,,yes,,,,,,yes,,,,,,yes,,,,,,yes,
2501,MAV_CMD_VIDEO_STOP_CAPTURE,Stop the current video capture (recording).,,0,,1,no,Video Stream ID (0 for all streams),,,,,yes,,,,,,yes,,,,,,yes,,,,,,yes,,,,,,yes,,,,,,yes,
2502,MAV_CMD_VIDEO_START_STREAMING,Start video streaming,,0,,1,no,"Video Stream ID (0 for all streams, 1 for first, 2 for second, etc.)",,,,,yes,,,,,,yes,,,,,,yes,,,,,,yes,,,,,,yes,,,,,,yes,
2503,MAV_CMD_VIDEO_STOP_STREAMING,Stop the given video stream,,0,,1,no,"Video Stream ID (0 for all streams, 1 for first, 2 for second, etc.)",,,,,yes,,,,,,yes,,,,,,yes,,,,,,yes,,,,,,yes,,,,,,yes,
2504,MAV_CMD_REQUEST_VIDEO_STREAM_INFORMATION,Request video stream information (VIDEO_STREAM_INFORMATION),,0,,1,no,"Video Stream ID (0 for all streams, 1 for first, 2 for second, etc.)",,,,,yes,,,,,,yes,,,,,,yes,,,,,,yes,,,,,,yes,,,,,,yes,
2505,MAV_CMD_REQUEST_VIDEO_STREAM_STATUS,Request video stream status (VIDEO_STREAM_STATUS),,0,,1,no,"Video Stream ID (0 for all streams, 1 for first, 2 for second, etc.)",,,,,yes,,,,,,yes,,,,,,yes,,,,,,yes,,,,,,yes,,,,,,yes,
2510,MAV_CMD_LOGGING_START,Request to start streaming logging data over MAVLink (see also LOGGING_DATA message),,0,,1,no,Format: 0: ULog,,,,,yes,Reserved (set to 0),,,,,yes,Reserved (set to 0),,,,,yes,Reserved (set to 0),,,,,yes,Reserved (set to 0),,,,,yes,Reserved (set to 0),,,,,yes,Reserved (set to 0)
2511,MAV_CMD_LOGGING_STOP,Request to stop streaming log data over MAVLink,,,,,yes,Reserved (set to 0),,,,,yes,Reserved (set to 0),,,,,yes,Reserved (set to 0),,,,,yes,Reserved (set to 0),,,,,yes,Reserved (set to 0),,,,,yes,Reserved (set to 0),,,,,yes,Reserved (set to 0)
2520,MAV_CMD_AIRFRAME_CONFIGURATION,,,-1,,1,no,"Landing gear ID (default: 0, -1 for all)",,,,,no,"Landing gear position (Down: 0, Up: 1, NaN for no change)",,,,,yes,,,,,,yes,,,,,,yes,,,,,,yes,,,,,,yes,
